iter	Passed	Remaining
1272	4848	2769
1273	4853	2765
1274	4858	2762
1275	4862	2759
1276	4866	2755
1277	4871	2752
1278	4876	2749
1279	4882	2746
1280	4887	2743
1281	4893	2740
1282	4899	2738
1283	4905	2735
1284	4910	2732
1285	4915	2729
1286	4920	2726
1287	4925	2722
1288	4930	2719
1289	4936	2716
1290	4942	2714
1291	4947	2711
1292	4952	2707
1293	4957	2704
1294	4962	2701
1295	4967	2698
1296	4972	2695
1297	4978	2692
1298	4983	2689
1299	4988	2686
1300	4992	2682
1301	4996	2678
1302	5000	2675
1303	5005	2671
1304	5010	2668
1305	5017	2666
1306	5021	2662
1307	5027	2660
1308	5033	2657
1309	5038	2653
1310	5043	2650
1311	5047	2646
1312	5053	2643
1313	5057	2640
1314	5063	2637
1315	5069	2634
1316	5074	2631
1317	5079	2628
1318	5083	2624
1319	5087	2620
1320	5091	2617
1321	5096	2613
1322	5100	2610
1323	5105	2606
1324	5110	2603
1325	5116	2600
1326	5121	2597
1327	5126	2594
1328	5131	2590
1329	5135	2586
1330	5139	2583
1331	5143	2579
1332	5148	2576
1333	5152	2572
1334	5157	2569
1335	5162	2565
1336	5166	2562
1337	5172	2558
1338	5177	2555
1339	5183	2553
1340	5188	2549
1341	5194	2546
1342	5199	2543
1343	5204	2540
1344	5209	2537
1345	5215	2534
1346	5220	2530
1347	5226	2527
1348	5231	2524
1349	5236	2521
1350	5242	2518
1351	5248	2515
1352	5254	2512
1353	5261	2510
1354	5267	2507
1355	5273	2504
1356	5279	2501
1357	5284	2498
1358	5289	2494
1359	5293	2490
1360	5300	2488
1361	5305	2485
1362	5311	2482
1363	5318	2479
1364	5324	2476
1365	5330	2474
1366	5336	2471
1367	5342	2467
1368	5348	2465
1369	5355	2462
1370	5362	2460
1371	5369	2457
1372	5374	2454
1373	5380	2451
1374	5386	2448
1375	5390	2444
1376	5395	2441
1377	5399	2437
1378	5403	2433
1379	5407	2429
1380	5411	2425
1381	5414	2421
1382	5418	2417
1383	5422	2413
1384	5425	2409
1385	5429	2405
1386	5433	2401
1387	5437	2397
1388	5440	2393
1389	5444	2389
1390	5447	2385
1391	5451	2381
1392	5454	2376
1393	5458	2372
1394	5461	2368
1395	5465	2364
1396	5468	2360
1397	5472	2356
1398	5475	2352
1399	5479	2348
1400	5482	2344
1401	5486	2340
1402	5489	2336
1403	5493	2331
1404	5497	2327
1405	5500	2323
1406	5504	2319
1407	5508	2315
1408	5512	2312
1409	5516	2308
1410	5519	2304
1411	5523	2300
1412	5526	2295
1413	5530	2291
1414	5533	2287
1415	5537	2283
1416	5541	2280
1417	5545	2275
1418	5548	2271
1419	5552	2267
1420	5556	2264
1421	5560	2260
1422	5564	2256
1423	5568	2252
1424	5571	2248
1425	5575	2244
1426	5578	2240
1427	5582	2235
1428	5585	2231
1429	5589	2228
1430	5593	2224
1431	5596	2220
1432	5600	2216
1433	5604	2211
1434	5607	2208
1435	5611	2203
1436	5614	2199
1437	5618	2195
1438	5622	2191
1439	5625	2187
1440	5629	2183
1441	5633	2179
1442	5636	2175
1443	5640	2171
1444	5643	2167
1445	5647	2163
1446	5651	2159
1447	5654	2155
1448	5657	2151
1449	5661	2147
1450	5664	2143
1451	5668	2139
1452	5672	2135
1453	5676	2131
1454	5679	2127
1455	5683	2123
1456	5687	2119
1457	5690	2115
1458	5694	2111
1459	5700	2108
1460	5704	2104
1461	5708	2100
1462	5712	2096
1463	5715	2092
1464	5719	2088
1465	5722	2084
1466	5726	2080
1467	5729	2076
1468	5733	2072
1469	5737	2068
1470	5741	2064
1471	5746	2061
1472	5750	2057
1473	5753	2053
1474	5757	2049
1475	5761	2045
1476	5764	2041
1477	5768	2037
1478	5772	2033
1479	5775	2029
1480	5779	2025
1481	5782	2021
1482	5786	2017
1483	5790	2013
1484	5793	2009
1485	5797	2005
1486	5800	2001
1487	5804	1997
1488	5808	1993
1489	5812	1989
1490	5815	1985
1491	5819	1981
1492	5822	1977
1493	5826	1973
1494	5829	1969
1495	5833	1965
1496	5836	1961
1497	5840	1957
1498	5843	1953
1499	5847	1949
1500	5852	1945
1501	5856	1941
1502	5860	1937
1503	5863	1933
1504	5867	1929
1505	5871	1925
1506	5874	1921
1507	5878	1917
1508	5881	1913
1509	5885	1909
1510	5889	1905
1511	5892	1901
1512	5896	1897
1513	5899	1893
1514	5903	1889
1515	5907	1885
1516	5910	1881
1517	5914	1877
1518	5917	1873
1519	5921	1869
1520	5924	1865
1521	5928	1861
1522	5931	1857
1523	5935	1853
1524	5938	1849
1525	5942	1845
1526	5946	1841
1527	5949	1837
1528	5953	1833
1529	5956	1829
1530	5960	1825
1531	5963	1821
1532	5967	1817
1533	5970	1813
1534	5974	1809
1535	5977	1805
1536	5981	1801
1537	5985	1797
1538	5988	1793
1539	5992	1789
1540	5995	1785
1541	5999	1781
1542	6003	1777
1543	6006	1773
1544	6009	1769
1545	6013	1765
1546	6017	1761
1547	6020	1757
1548	6024	1753
1549	6027	1749
1550	6031	1745
1551	6034	1742
1552	6038	1738
1553	6041	1733
1554	6045	1729
1555	6048	1726
1556	6052	1722
1557	6056	1718
1558	6060	1714
1559	6063	1710
1560	6067	1706
1561	6071	1702
1562	6074	1698
1563	6078	1694
1564	6081	1690
1565	6085	1686
1566	6088	1682
1567	6092	1678
1568	6096	1674
1569	6099	1670
1570	6103	1666
1571	6106	1662
1572	6110	1658
1573	6114	1654
1574	6117	1650
1575	6121	1646
1576	6124	1642
1577	6128	1638
